market,strategy_id,family,signal_key,entry_scheme,development_candidate,source_role,capital,slippage_ticks,window,development_score,rejects,trades,wins,losses,pnl,return_pct,pf,winrate,avg_win,avg_loss,payoff_ratio,max_dd_pct
KOSDAQ,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000000.0,0,DEVELOPMENT_TO_2025,0.8450367160731836,58,19,12,7,22369.37749999998,0.004473875500000446,1.2989484293260796,0.631578947368421,8099.687916666667,10689.553928571433,0.7577199171068797,0.008249587725713714
KOSDAQ,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000000.0,1,DEVELOPMENT_TO_2025,0.6547354046712216,59,18,11,7,6273.6724999997605,0.001254734500000021,1.0807695536187043,0.6111111111111112,7631.58204545454,11096.247142857168,0.6877624432119026,0.009129381955556237
KOSDAQ,NORAMU_C1_SUPPORT_20_20_60,NORAMU,NORAMU_C1,A,True,source signal; source-supported split example; exact add levels are research controls,5000000.0,2,DEVELOPMENT_TO_2025,-1.4424660845801496,59,18,10,8,-5272.20500000006,-0.0010544410000001836,0.9380102006997502,0.5555555555555556,7977.735250000001,10631.194687500009,0.7504081605598001,0.01044830299162025
KOSDAQ,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000000.0,0,DEVELOPMENT_TO_2025,0.8872534340001226,58,19,12,7,26982.065000000075,0.005396413000000599,1.3583232142107187,0.631578947368421,8523.58145833334,10757.273214285713,0.7923552082895859,0.008932715139695402
KOSDAQ,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000000.0,1,DEVELOPMENT_TO_2025,0.7189965309693375,59,18,11,7,13611.107499999947,0.0027222215000000105,1.1756423724488958,0.6111111111111112,8282.219090909086,11070.471785714284,0.7481360551947519,0.009004589807734997
KOSDAQ,NORAMU_C1_RECONFIRM_20_20_60,NORAMU,NORAMU_C1,R,True,source signal; source-supported re-break weighting; exact trigger tolerances are research controls,5000000.0,2,DEVELOPMENT_TO_2025,0.625334963633403,59,18,8,10,3124.042500000003,0.000624808499999796,1.0370182018890048,0.4444444444444444,10939.513437499998,8439.206499999997,1.296272752361256,0.009052056704960565
KOSDAQ,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000000.0,0,DEVELOPMENT_TO_2025,1.5899532804655085,49,28,15,13,191036.56000000023,0.03820731199999994,1.498839343355901,0.5357142857142857,38266.57700000001,29458.62269230769,1.2989940975751142,0.040908482190906925
KOSDAQ,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000000.0,1,DEVELOPMENT_TO_2025,1.2690089899177557,50,27,14,13,113400.5875,0.022680117499999985,1.2840093360197287,0.5185185185185185,36620.37892857143,30714.209038461544,1.1922943834468909,0.04798302532152465
KOSDAQ,NORAMU_C1_STANDARDIZED_FULL,NORAMU,NORAMU_C1,FULL,False,signal-only comparator using the same standardized executor as Dororong,5000000.0,2,DEVELOPMENT_TO_2025,0.8982290189567985,51,26,12,14,10244.264999999723,0.002048853000000239,1.024597793027075,0.46153846153846156,35559.59708333333,29747.921428571444,1.1953640918649209,0.051706504663736386
KOSDAQ,DORORONG_PRE1_CHANNEL_HL_VOLUME,DORORONG,DORORONG_PRE1,FULL,True,pre-adoption independent concept; numeric channel and volume thresholds are research proxies,5000000.0,0,DEVELOPMENT_TO_2025,-1.3859223853497542,405,100,48,52,-240423.73800000004,-0.048084747600000366,0.8545013526502458,0.48,29416.426010416664,31777.1574326923,0.9257097987044329,0.08631496976224573
